X, Y ,Z
-57.38825,17.13354, 22.22073
-59.85352,17.48413, 23.28499
-57.40007,17.1654, 22.24591
-59.87165,17.51351, 23.31065
-57.41209,17.1978, 22.27152
-59.88819,17.5403, 23.33406
-57.42305,17.22735, 22.29489
-59.90189,17.56251, 23.35345
-57.43213,17.25183, 22.31424
-59.91915,17.59047, 23.37788
-57.44358,17.28268, 22.33862
-59.93795,17.62093, 23.4045
-57.45604,17.31628, 22.36519
-59.953,17.64531, 23.42579
-57.46601,17.34315, 22.38644
-59.9701,17.67303, 23.45
-57.47735,17.37373, 22.41061
-59.98668,17.69988, 23.47346
-57.48834,17.40335, 22.43402
-60.0192,17.75257, 23.51949
-57.5099,17.46146, 22.47997
-60.03983,17.78599, 23.54868
-57.52357,17.49832, 22.5091
-60.05383,17.80868, 23.5685
-57.53286,17.52334, 22.52889
-60.0718,17.83779, 23.59394
-57.54477,17.55545, 22.55427
-60.09102,17.86894, 23.62114
-57.55751,17.58981, 22.58143
-60.10405,17.89005, 23.63958
-57.56615,17.61309, 22.59983
-57.60931,18.38243, 26.82635
-60.12283,17.92049, 23.66617
-57.5786,17.64666, 22.62637
-57.61899,18.41028, 26.85807
-60.14109,17.95006, 23.69201
-57.5907,17.67927, 22.65216
-57.62573,18.42967, 26.88016
-60.1538,17.97065, 23.71
-57.59912,17.70199, 22.67012
-57.63511,18.45667, 26.91092
-60.17149,17.99932, 23.73505
-57.61086,17.73361, 22.69512
-57.64492,18.48487, 26.94304
-60.18998,18.02928, 23.76122
-57.62311,17.76665, 22.72124
-57.65521,18.51448, 26.97677
-60.20939,18.06073, 23.78868
-57.63598,17.80133, 22.74866
-57.66209,18.53428, 26.99932
-60.22237,18.08175, 23.80705
-57.64458,17.82452, 22.76699
-57.67216,18.56323, 27.0323
-60.24134,18.1125, 23.83391
-57.65716,17.85843, 22.79379
-57.6795,18.58435, 27.05635
-60.25519,18.13493, 23.8535
-57.66634,17.88317, 22.81335
-57.68935,18.61268, 27.08863
-60.27376,18.16502, 23.87979
-56.51841,15.43268, 26.3583
-57.67865,17.91636, 22.83959
-57.69949,18.64185, 27.12185
-56.52668,15.4571, 26.39562
-57.69132,17.95052, 22.8666
-57.70698,18.66339, 27.14639
-56.53279,15.47514, 26.42318
-57.70068,17.97575, 22.88655
-57.71686,18.69182, 27.17877
-56.54086,15.49894, 26.45956
-57.71304,18.00905, 22.91288
-57.72421,18.71296, 27.20285
-56.54686,15.51664, 26.48661
-57.72222,18.03382, 22.93245
-57.73393,18.74091, 27.23469
-56.55479,15.54004, 26.52237
-57.73437,18.06656, 22.95834
-57.74399,18.76984, 27.26765
-56.56299,15.56426, 26.55938
-57.74694,18.10044, 22.98513
-57.75185,18.79246, 27.29341
-56.56941,15.58319, 26.58831
-57.75677,18.12693, 23.00607
-57.76146,18.82012, 27.32491
-56.57726,15.60635, 26.6237
-57.76878,18.15933, 23.03168
-57.76937,18.84285, 27.35081
-56.58371,15.62539, 26.65279
-57.77866,18.18596, 23.05273
-57.77884,18.8701, 27.38184
-56.59143,15.6482, 26.68765
